Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3205002047,Praia de Carapebus - Serra,1661,188,1616,39,1215,341,304,1650,3.29,5462,5459,4521,4370,96.66,5001,4743,1744.83,1400,991.01,700,175,15,32,2715,2747,941,992,1075,956,719,432,217,130
3205002048,Chácara Parreiral - Serra,341,37,298,43,216,116,337,341,3.04,1036,1036,913,900,98.58,979,955,2669.56,2050,1667.25,1205,17,11,28,520,516,123,119,200,174,166,135,78,41
3205002049,Novo Horizonte - Serra,4460,700,4058,251,2203,1988,4219,4409,3.17,14146,14127,11575,10717,92.59,12855,11448,1352.51,1100,819.83,600,719,16,183,7281,6865,2571,2591,3507,2401,1520,937,378,241
3205002050,São Diogo II - Serra,252,34,208,43,160,82,225,252,3.02,761,759,676,652,96.45,715,682,3493.43,2600,1772.8,1300,5,18,3,366,395,85,102,152,136,110,85,52,39
3205002051,São Diogo I - Serra,1039,136,365,670,748,250,814,1039,2.89,3004,3002,2632,2605,98.97,2804,2742,3585.08,3000,1986.37,1500,32,58,15,1452,1552,372,399,683,641,398,312,129,70
3205002052,São Geraldo - Serra,526,70,457,41,287,184,504,525,3.14,1651,1646,1438,1343,93.39,1529,1399,1684.98,1396,897.47,700,48,7,20,860,791,213,287,432,271,204,134,55,55
3205002053,Manoel Plaza - Serra,928,74,914,4,599,217,814,843,3.35,3113,3105,2723,2677,98.31,2936,2849,2788.3,2212.5,1453.9,1000,55,36,16,1484,1629,390,443,638,540,376,404,216,106
3205002054,Eurico Salles - Serra,410,44,397,11,317,61,403,410,3.19,1311,1308,1189,1173,98.65,1253,1227,3978,3200,1876.55,1400,17,48,1,617,694,122,154,242,221,156,206,99,111
3205002055,Rosário de Fátima - Serra,524,71,381,108,316,169,511,524,3.07,1609,1603,1398,1353,96.78,1510,1451,2467.78,1620,1331.47,900,44,20,7,817,792,211,221,360,252,215,183,104,63
3205002056,Boa Vista (Carapina) - Serra,845,107,762,60,565,252,805,836,3.14,2663,2656,2260,2152,95.22,2465,2286,1620.96,1275,937.41,700,113,13,28,1283,1380,403,503,519,444,359,238,116,81
3205002057,Jardim Carapina - Serra,4105,491,4024,40,2921,957,3767,4085,3.42,14052,14048,11378,10558,92.79,12728,11449,1203.45,1020,722.68,550,739,6,172,6949,7103,2674,2971,2889,2238,1633,957,441,249
3205002058,Santa Luzia - Serra,998,136,182,635,828,141,973,998,2.9,2890,2889,2436,2365,97.09,2646,2531,4112.24,2715,2334.77,1500,36,147,20,1421,1469,454,421,555,786,394,178,68,34
3205002059,Terminal Intermodal da Serra - Serra (ES),..,..,X,X,X,X,..,..,X,1,..,X,..,X,..,..,X,-,..,..,..,..,X,..,..,..,..,..,..,..,..,..,..
3205002060,André Carlone - Serra,2185,348,782,1397,1491,603,2165,2185,2.78,6072,6064,5369,5260,97.97,5738,5551,2062.3,1770,1191.83,920,152,22,65,2791,3281,703,876,1275,1039,834,789,363,193
3205002061,Carapina Grande - Serra,3513,396,3286,172,2136,1185,3419,3497,3.24,11415,11363,9751,9263,95,10571,9885,1748.66,1420,999.4,700,367,46,191,5656,5759,1664,1921,2430,1947,1475,1089,537,352
3205002062,Diamantina - Serra,459,58,450,5,334,99,444,453,3.39,1558,1558,1282,1204,93.92,1417,1295,1196.23,1020,718.68,600,82,1,28,784,774,276,335,337,213,171,140,46,40
3205002063,Central Carapina - Serra,1891,247,1828,46,1375,387,1823,1888,3.32,6272,6269,5049,4632,91.74,5692,5013,1129.59,1020,711.49,560,366,4,121,3121,3151,1223,1296,1296,1052,657,432,185,131
3205002064,Planalto Carapina - Serra,900,126,595,293,678,178,861,894,2.96,2680,2658,2257,2126,94.2,2444,2240,1981.45,1597.5,1137.32,830,95,15,22,1315,1365,423,392,555,584,298,240,110,78
3205002065,Jardim Tropical - Serra,2423,322,2203,136,1456,830,2292,2412,3.11,7546,7514,6395,6052,94.64,6934,6433,1718.96,1310,965.62,700,302,28,56,3640,3906,1151,1300,1646,1256,911,726,338,218
3205002066,Cantinho do Céu - Serra,1284,173,1264,2,1018,184,884,954,3.41,4374,4374,3479,3056,87.84,3926,3289,1098.62,1000,682.45,510,289,4,77,2170,2204,895,859,890,673,442,380,144,91
3205002067,José de Anchieta II - Serra,1106,111,1098,7,823,234,1000,1088,3.47,3845,3842,3150,2887,91.65,3499,3100,1321.98,1103,713.92,554,164,2,19,1916,1929,695,816,811,576,465,295,117,70
3205002068,Solar de Anchieta - Serra,344,51,344,-,235,106,330,343,3.1,1067,1067,890,831,93.37,978,889,1361.62,1180,787.22,600,49,-,9,540,527,177,159,265,184,110,110,40,22
3205002069,José de Anchieta - Serra,2004,216,1931,68,1304,517,1934,2002,3.17,6363,6352,5534,5347,96.62,5954,5679,2206.18,1755,1175.55,800,142,37,52,3107,3256,829,993,1207,1122,833,658,418,303
3205002070,José de Anchieta III - Serra,582,53,576,5,386,139,518,566,3.44,2002,2002,1606,1508,93.9,1797,1640,1290.05,1060,791.16,600,106,2,38,999,1003,396,378,434,301,221,165,57,50
3205002071,Laranjeiras Velha - Serra,1583,221,1089,481,1079,309,1385,1582,3.05,4826,4822,4096,3924,95.8,4450,4197,2021.32,1615,1158.67,800,139,24,51,2394,2432,730,781,1115,928,637,369,159,107
3205002072,Taquara I - Serra,1422,171,1186,229,1043,297,1236,1224,3.22,4574,4573,3749,3525,94.03,4137,3843,1461.55,1210,843.12,650,204,6,52,2246,2328,825,821,968,798,524,401,152,85
3205002073,São Judas Tadeu - Serra,585,66,412,172,486,71,552,584,3.05,1787,1787,1525,1457,95.54,1646,1548,2157.18,1710,1195.03,850,50,13,16,834,953,262,270,333,355,241,163,87,76
3205002074,Taquara II - Serra,745,62,735,5,583,143,695,582,3.27,2434,2431,2034,1931,94.94,2213,2086,1457.51,1210,848.98,681.5,87,3,33,1191,1243,400,405,561,380,263,263,100,62
3205002075,Barcelona - Serra,3739,292,3640,83,2743,828,3711,3738,3.39,12707,12674,11144,10937,98.14,11961,11578,2655.54,2150,1338.62,1000,194,111,61,6132,6575,1563,2022,2521,1916,1857,1751,659,418
3205002076,Maringá - Serra,664,61,653,11,490,132,614,664,3.25,2156,2155,1841,1786,97.01,1993,1905,1779.4,1500,942.21,700,68,4,12,1021,1135,315,375,460,319,301,239,90,57
3205002077,Civit I - Serra,5,1,5,-,-,-,2,5,3.2,17,16,15,15,100,15,15,960,1150,725,700,-,-,1,7,10,2,4,2,6,-,3,-,-
3205002078,Parque Residencial Tubarão - Serra,1041,96,1024,12,764,232,565,1036,3.41,3548,3543,2942,2834,96.33,3251,3056,1450.8,1210,864.45,650,132,3,54,1745,1803,606,743,641,577,510,288,99,84
3205002079,Planície da Serra - Serra,226,12,211,15,161,56,221,226,3.37,762,757,647,643,99.38,701,697,2564.4,1910,1451.5,1000,12,7,2,379,383,115,132,141,142,105,90,25,12
3205002080,Mata da Serra - Serra,701,57,654,45,538,146,693,701,3.27,2294,2289,2041,2015,98.73,2173,2125,3201.26,2600,1615.89,1200,21,38,10,1104,1190,253,305,445,339,327,332,197,96
3205002081,Porto Canoa - Serra,989,77,915,62,775,185,986,989,3.39,3390,3345,2992,2941,98.3,3202,3120,2370.08,2030,1389.96,1000,44,28,129,1652,1738,398,497,716,493,481,491,216,98
3205002082,Santo Antônio - Serra,612,59,612,-,512,75,576,595,3.43,2101,2099,1740,1593,91.55,1924,1696,1319.99,1070,776.78,600,116,5,41,1027,1074,361,415,397,331,248,199,77,73
3205002083,Barro Branco - Serra,273,26,273,-,204,38,246,273,3.41,930,930,764,701,91.75,853,764,1660.6,1200,958.44,600,45,1,15,463,467,166,148,197,149,93,78,65,34
3205002084,Pitanga - Serra,482,54,482,-,410,61,385,475,3.36,1630,1619,1363,1297,95.16,1501,1399,1923,1500,1000.43,700,57,7,12,799,831,267,248,338,271,225,154,71,56
3205002085,Parque Residencial Mestre Álvaro - Serra,528,43,527,-,407,95,310,527,3.39,1788,1788,1499,1421,94.8,1647,1519,1653.25,1300,942.67,700,71,5,21,862,926,289,324,350,289,247,172,72,45
3205002086,Nova Carapina I - Serra,2892,307,2881,5,2106,577,2287,2891,3.33,9647,9637,8054,7564,93.92,8859,8102,1412.78,1200,827.87,615,421,12,123,4693,4954,1593,1791,1932,1535,1211,895,397,293
3205002087,Nova Carapina II - Serra,2173,194,2160,8,1664,386,1728,2161,3.44,7473,7462,6171,5690,92.21,6855,6179,1382.43,1200,805.07,600,292,7,98,3679,3794,1302,1449,1416,1232,1001,628,265,180
3205002088,Cidade Pomar - Serra,1583,177,1357,47,1283,223,1226,1571,3.29,5203,5202,4186,3871,92.47,4714,4219,1277.12,1100,793.6,600,222,4,93,2651,2552,1017,997,975,962,616,368,167,101
3205002089,Eldorado - Serra,2408,237,2360,27,1865,383,2114,2403,3.29,7920,7914,6750,6508,96.41,7327,6921,1917.22,1530,1056.83,800,212,23,67,3808,4112,1170,1364,1579,1282,1166,820,316,223
3205002090,Novo Porto Canoa - Serra,1371,109,1353,15,1003,298,1118,1370,3.36,4605,4600,3835,3659,95.41,4246,3985,1630.8,1400,898.81,700,162,4,35,2249,2356,770,885,880,840,621,369,134,106
3205002091,Serra Dourada II - Serra,2039,189,2011,19,1553,380,1688,2026,3.45,7039,7036,5938,5730,96.5,6520,6174,1852.25,1505,1051.26,800,223,20,99,3385,3654,1101,1269,1370,1112,854,757,372,204
3205002092,Serra Dourada I - Serra,1241,92,1158,79,993,172,977,1230,3.42,4250,4250,3661,3553,97.05,3953,3763,1942.54,1600,1078.61,800,122,15,65,2060,2190,589,753,803,679,615,446,218,147
3205002093,Serra Dourada III - Serra,1545,134,1530,11,1155,286,1422,1533,3.4,5252,5249,4519,4390,97.15,4906,4689,1920.91,1530,1022.23,783,174,11,45,2560,2692,733,965,1047,785,745,565,252,160
3205002094,Campinho da Serra II - Serra,341,27,340,-,266,43,224,336,3.38,1154,1154,981,893,91.03,1070,946,1313.37,1162.5,731.79,590,52,3,31,558,596,173,237,219,187,147,103,49,39
3205002095,Vista da Serra II - Serra,1109,130,1109,-,838,228,863,1108,3.2,3547,3547,2948,2787,94.54,3244,3016,1376.24,1200,812.26,630,173,3,41,1772,1775,599,649,701,612,419,325,140,102
3205002096,Campinho da Serra I - Serra,336,33,336,-,299,30,211,334,3.36,1129,1129,947,888,93.77,1042,967,1358.4,1120,740.94,550,47,1,9,554,575,182,222,223,202,109,104,53,34
3205002097,Planalto Serrano - Serra,4273,384,4213,39,3457,617,3854,4242,3.62,15495,15467,12427,11249,90.52,13971,12122,1111.64,1020,686.18,510,907,9,315,7674,7821,3068,3433,3068,2394,1726,1055,456,295
3205002098,Vista da Serra I - Serra,1973,213,1971,1,1479,330,1644,1969,3.26,6437,6437,5421,5110,94.26,5972,5443,1448.27,1200,812,600,269,8,79,3162,3275,1016,1196,1293,1066,793,631,267,175
3205002099,São Lourenço - Serra,213,13,211,1,176,29,145,213,3.54,753,753,645,624,96.74,706,680,2310.31,1900,1139.11,825,12,1,2,364,389,108,124,150,124,118,64,37,28
3205002100,Vila Maria Niobe - Serra,509,52,426,83,364,120,503,508,3.09,1575,1574,1366,1312,96.05,1478,1400,2112.79,1540,1090.09,800,51,11,8,757,818,209,224,319,273,228,144,101,77
3205002101,Caçaroca - Serra,381,38,354,7,306,62,380,380,3.19,1214,1212,1079,1044,96.76,1153,1112,2913.34,2060,1459.92,1000,28,23,9,591,623,135,163,211,184,195,141,96,89
3205002102,Fazenda Cascata - Serra,900,72,900,-,769,104,884,900,3.58,3233,3220,2646,2475,93.54,2944,2716,1299.54,1142.5,724.86,599,143,1,22,1577,1656,587,617,613,580,364,272,113,87
3205002103,Serra Centro - Serra,532,52,515,9,434,75,487,530,3.2,1725,1703,1543,1492,96.69,1644,1581,3125.8,2200,1513.09,1000,42,42,7,814,911,182,261,352,230,251,210,120,119
3205002104,Jardim Primavera - Serra,112,6,112,-,56,14,89,103,3.36,376,376,307,281,91.53,337,304,1706.85,1300,1056.17,700,17,2,11,167,209,69,54,76,65,46,39,16,11
3205002105,Jardim Guanabara - Serra,282,29,268,1,189,67,232,281,3.3,932,932,791,746,94.31,871,800,1763.82,1300,960.23,650,56,4,9,449,483,141,165,216,149,104,93,40,24
3205002106,Centro da Serra - Serra,741,69,739,2,578,120,40,729,3.33,2465,2465,2027,1921,94.77,2251,2096,1569.47,1320,975.65,710,77,5,46,1237,1228,438,463,436,452,338,183,100,55
3205002107,São Domingos - Serra,381,38,379,-,311,50,348,380,3.39,1293,1291,1102,1038,94.19,1186,1095,1735.65,1460,925.99,700,51,4,13,634,659,191,234,245,190,167,112,80,74
3205002108,Jardim Bela Vista - Serra,1190,108,1172,4,870,254,971,1188,3.37,4013,4012,3290,3108,94.47,3658,3406,1368.88,1095,823.43,600,182,6,38,1991,2022,723,789,822,728,467,288,128,68
3205002109,São Marcos - Serra,1718,170,1716,1,1271,317,1567,1701,3.18,5480,5467,4687,4332,92.43,5094,4596,1384.74,1200,826.54,600,213,7,131,2723,2757,793,995,1144,878,751,518,226,175
3205002110,Nossa Senhora da Conceição - Serra,435,49,427,2,322,83,418,433,3.24,1411,1411,1207,1133,93.87,1309,1211,1703.79,1410,918.4,665,63,5,14,693,718,204,241,250,240,166,160,90,60
3205002111,Colina da Serra - Serra,401,43,401,-,307,61,381,397,3.4,1363,1362,1092,1008,92.31,1238,1085,1296.63,1100,769.53,600,63,-,18,679,684,271,260,251,238,153,109,48,33
3205002112,Jardim da Serra - Serra,230,38,225,5,156,59,210,228,3.16,727,726,617,589,95.46,669,615,1664.12,1205,945.05,700,27,2,6,344,383,110,126,144,134,89,81,27,16
3205002113,Divinópolis - Serra,643,72,643,-,499,110,431,619,3.59,2307,2307,1835,1636,89.16,2072,1795,1147.54,1020,645.55,510,120,2,31,1159,1148,472,470,408,399,241,173,89,55
3205002114,Cidade Nova da Serra - Serra,145,15,145,-,110,6,-,102,3.44,549,499,423,348,82.27,485,394,852.87,560,569.91,510,69,1,6,279,270,126,119,84,73,56,47,35,9
3205002115,Parque Residencial Nova Almeida - Serra,89,15,89,-,72,7,1,78,3.06,272,271,218,179,82.11,244,195,930.98,800,726.82,510,26,-,10,142,130,54,47,47,37,33,27,19,8
3205101001,Centro - Viana,1135,121,1107,28,873,200,856,1108,3.28,3726,3720,3209,3024,94.23,3483,3196,2088.98,1500,1083.14,680,139,32,33,1854,1872,517,608,690,642,516,380,204,169
3205101002,Bom Pastor - Viana,667,61,654,13,522,114,494,661,3.37,2246,2245,1833,1710,93.29,2059,1834,1246.78,1045,762.61,600,137,2,36,1104,1142,413,439,445,344,299,163,94,49
3205101003,Ribeira - Viana,157,19,153,2,117,32,98,151,3.36,527,527,448,440,98.21,493,472,2709.15,1560,1363.26,884,11,10,-,271,256,79,92,75,80,93,53,28,27
3205101004,Universal - Viana,2161,202,2134,25,1727,309,1460,1866,3.32,7175,7171,6023,5582,92.68,6618,5953,1488.14,1200,848.78,600,352,16,102,3519,3656,1152,1221,1471,1172,886,689,347,237
3205101005,Cannaã - Viana,1387,156,1375,10,1079,223,1164,1381,3.27,4544,4536,3780,3551,93.94,4175,3810,1436.16,1140,816,600,221,5,33,2228,2316,764,810,919,746,537,458,175,135
3205101006,Primavera - Viana,691,88,690,1,518,105,413,619,3.21,2226,2221,1882,1783,94.74,2075,1914,1507.61,1300,834.28,630,94,3,23,1103,1123,344,418,432,385,287,214,87,59
3205101007,Marcilio de Noronha - Viana,4161,400,4004,152,3218,712,3834,4130,3.22,13408,13388,11421,10991,96.24,12409,11620,1582.61,1310,915.47,650,554,28,235,6487,6921,1987,2347,2696,2083,1898,1416,594,387
3205101008,Vila Bethania - Viana,1665,183,1514,144,1255,289,1371,1650,3.09,5156,5151,4468,4251,95.14,4800,4501,1845.48,1450,993.8,700,200,15,48,2498,2658,688,766,994,896,680,583,336,213
3205101009,Nova Bethania - Viana,2102,229,2071,30,1707,253,1509,1902,3.26,6868,6851,5728,5307,92.65,6298,5615,1313.09,1110,769.32,600,358,6,87,3360,3508,1140,1321,1327,1107,872,634,291,176
3205101010,Areinha - Viana,1075,115,1070,4,928,102,266,755,3.79,4077,4077,3344,2902,86.78,3722,3131,940.39,1010,678.01,510,247,1,200,1981,2096,733,780,850,662,392,345,176,139
3205101011,Arlindo Angelo Villaschi - Viana,366,33,366,-,248,45,220,347,3.48,1275,1275,1001,939,93.81,1150,1028,1217.37,1020,804.25,600,73,-,24,637,638,274,265,220,250,134,81,29,22
3205101012,Caxias do Sul - Viana,848,94,847,1,710,95,479,801,3.46,2931,2931,2402,2220,92.42,2689,2367,1181.38,1020,732.85,510,196,2,75,1426,1505,529,579,615,431,369,225,99,84
3205101013,Campo Verde - Viana,482,49,481,1,383,51,190,458,3.36,1645,1621,1372,1231,89.72,1503,1315,1101.73,1020,701.42,511,79,-,49,810,835,273,344,293,234,205,133,90,73
3205101014,Morada Bethania - Viana,211,26,209,2,187,7,34,130,3.4,717,717,582,523,89.86,657,566,1071.65,925,681.08,510,53,-,5,364,353,135,141,131,120,68,54,44,24
3205101015,Parque Industrial - Viana,29,-,29,-,16,-,2,11,3.93,114,114,101,94,93.07,110,101,2205.31,1320,1102.66,800,2,2,-,59,55,13,19,23,22,17,12,4,4
3205101016,Jucú - Viana,416,58,416,-,328,59,167,365,3.23,1353,1343,1155,1042,90.22,1266,1098,1484.96,1200,804.36,600,72,3,12,666,687,198,215,266,227,176,138,74,59
3205101017,Araçatiba - Viana,130,9,128,1,120,7,37,124,3.79,493,493,396,342,86.36,445,373,923.32,751,582.68,510,53,-,8,226,267,97,93,85,84,57,33,26,18
3205101018,Boa Esperança - Viana,114,6,114,-,99,7,12,110,3.66,417,416,340,310,91.18,388,332,1267.45,1110,803.81,600,24,1,7,211,206,77,86,69,75,52,33,11,14
3205200001,Centro de Vila Velha - Vila Velha,2719,482,1569,1108,1811,736,2219,2718,2.86,7880,7738,7200,7093,98.51,7554,7395,4218.73,3000,2281.28,1500,124,398,78,3600,4280,680,998,1355,1061,1165,997,740,884
3205200002,Boa Vista I - Vila Velha,975,119,751,221,618,300,970,975,3.22,3143,3142,2655,2509,94.5,2903,2701,1625.09,1320,899.3,654,106,4,22,1497,1646,488,578,591,524,439,248,161,114
3205200003,Boa Vista II - Vila Velha,1295,271,251,885,898,337,1147,1287,2.71,3515,3515,3093,3016,97.51,3309,3174,1838,1530,1066.88,800,111,10,33,1595,1920,422,539,737,577,510,406,189,135
3205200004,Coqueiral de Itaparica - Vila Velha,5061,767,240,4800,3610,1253,4288,5043,2.71,13696,13673,12382,12286,99.22,13041,12844,3340.48,2800,1876.5,1400,154,288,128,6239,7457,1314,1663,2923,2300,1942,1970,934,650
3205200005,Cristóvão Colombo - Vila Velha,2224,279,1591,614,1491,585,2062,2218,3.07,6835,6822,5996,5772,96.26,6423,6067,2086.74,1600,1126.93,800,203,42,51,3261,3574,839,1127,1263,1098,992,769,417,330
3205200006,Divino Espírito Santo - Vila Velha,2671,399,1628,996,1551,972,2487,2665,3.01,8031,8021,6937,6694,96.5,7484,7075,2043.52,1500,1154.94,780,274,52,67,3799,4232,1094,1278,1625,1309,1163,833,398,331
3205200007,Glória - Vila Velha,2222,358,1543,626,1438,720,2114,2222,3,7900,6608,7164,6895,96.25,7554,7216,2659.41,2000,1453.35,1000,140,86,68,4321,3579,736,1005,1932,1314,1076,875,450,512
3205200008,Ilha dos Ayres - Vila Velha,1190,176,992,156,825,276,1137,1190,3.1,3691,3690,3178,3002,94.46,3447,3180,2578.55,1530,1455.97,800,147,70,29,1760,1931,513,580,682,604,474,398,254,186
3205200009,Itapuã - Vila Velha,7899,1198,1512,6353,5472,2110,6428,7870,2.87,22808,22609,20575,20425,99.27,21750,21426,6087.2,4500,3331.59,2000,219,2012,173,10688,12120,2233,2934,4208,3578,3432,3268,1767,1388
3205200010,Jaburuna - Vila Velha,1814,257,1518,244,1304,373,1721,1741,3.22,5836,5834,4935,4593,93.07,5369,4879,1818.58,1310,1031.79,650,243,35,66,2816,3020,901,1020,1030,944,801,531,344,265
3205200011,Jockey de Itaparica - Vila Velha,877,142,350,527,577,262,535,871,2.72,2393,2388,2065,2040,98.79,2236,2178,2535.38,2010,1486.66,1100,35,21,8,1154,1239,328,315,451,487,447,215,106,44
3205200012,Olaria - Vila Velha,531,72,318,213,331,161,387,531,2.96,1596,1572,1465,1452,99.11,1535,1504,4398.63,3500,2283.04,1500,20,70,7,718,878,131,208,266,250,235,203,130,173
3205200013,Praia da Costa - Vila Velha,11001,1719,1271,9716,8034,2502,9621,10992,2.82,31083,30768,28214,28043,99.39,29734,29395,8347.33,6500,4575.55,3000,169,4628,166,14474,16609,2869,3828,5237,4873,4894,4645,2586,2151
3205200014,Praia das Gaivotas - Vila Velha,2257,277,725,1517,1619,578,2131,2252,2.78,6282,6280,5559,5517,99.24,5897,5795,4693.07,3700,2630.28,2000,37,303,25,2938,3344,723,790,1211,1331,1044,668,308,207
3205200015,Praia de Itaparica - Vila Velha,3982,632,933,2990,2639,1172,3176,3960,2.91,11648,11542,10344,10266,99.25,11003,10862,6949.74,5000,3912.77,2400,93,1342,94,5705,5943,1304,1693,1986,2049,1990,1492,693,441
3205200016,Residencial Itaparica - Vila Velha,539,89,368,171,301,220,520,539,2.88,1554,1553,1331,1313,98.65,1440,1387,2191.51,1700,1274.89,900,29,9,16,743,811,223,265,321,262,247,135,57,44
3205200017,Soteco - Vila Velha,2722,371,2061,653,1703,905,2594,2722,3.01,8189,8183,7160,6942,96.96,7721,7381,2118.91,1610,1133.22,800,233,63,53,3945,4244,1029,1274,1516,1328,1189,917,511,425
3205200018,Vista da Penha - Vila Velha,390,55,340,42,231,127,389,390,3.07,1199,1199,1038,1006,96.92,1125,1061,1569.87,1500,900.37,650,36,1,33,611,588,161,195,284,185,177,131,37,29
3205200019,Ibes - Vila Velha,2175,345,1759,393,1525,520,2149,2175,3.06,6677,6643,5948,5831,98.03,6340,6148,2722.09,2000,1431.96,1000,152,92,45,3078,3599,729,937,1116,926,1022,897,482,568
3205200020,Araçás - Vila Velha,1690,155,1526,162,1214,366,353,1690,3.16,5351,5338,4810,4744,98.63,5083,4968,3455.11,2700,1694.75,1100,67,114,13,2586,2765,541,694,1089,775,726,843,406,277
3205200021,Brisamar - Vila Velha,542,97,356,185,270,234,501,540,2.86,1549,1548,1331,1304,97.97,1444,1389,2644.53,2000,1468.12,1000,36,22,8,766,783,218,245,305,295,237,150,65,34
3205200022,Cocal - Vila Velha,1244,138,973,270,766,439,1198,1244,3.1,3861,3854,3383,3331,98.46,3640,3531,2775.76,2000,1472.41,1000,74,63,27,1831,2030,478,538,802,645,519,478,248,153
3205200023,Darly Santos - Vila Velha,190,19,188,2,157,27,25,187,3.1,589,589,497,488,98.19,545,520,1742.78,1450,924.94,700,13,1,1,276,313,92,98,101,107,105,54,19,13
3205200024,Guaranhuns - Vila Velha,817,107,780,37,607,174,737,817,3.22,2633,2627,2302,2255,97.96,2467,2387,2554.85,2000,1382.33,900,77,31,34,1262,1371,331,403,522,388,344,357,177,111
3205200025,Ilha dos Bentos - Vila Velha,1133,146,797,321,720,345,833,1133,3.02,3428,3417,3042,2999,98.59,3223,3140,3036.62,2287.5,1567.68,1000,51,56,11,1624,1804,386,483,699,526,494,490,196,154
3205200026,Jardim Asteca - Vila Velha,781,89,707,74,532,176,736,781,3.13,2447,2440,2168,2138,98.62,2319,2269,3222.03,2420,1637.62,1020,43,52,8,1152,1295,279,350,368,435,385,239,254,137
3205200027,Jardim Colorado - Vila Velha,1286,152,914,362,779,359,1259,1285,3.06,3937,3930,3491,3440,98.54,3735,3625,2874.01,2200,1497.41,1000,63,55,19,1865,2072,446,538,702,639,587,478,314,233
3205200028,Jardim Guadalajara - Vila Velha,623,89,482,141,446,146,619,623,3.19,1995,1982,1748,1696,97.03,1888,1796,2816.71,1920,1474.62,800,49,33,9,965,1030,247,333,363,303,304,200,127,118
3205200029,Jardim Guaranhuns - Vila Velha,666,67,598,66,445,171,634,666,3.41,2269,2268,1910,1850,96.86,2095,1997,1761.88,1310,1021.32,650,102,13,42,1088,1181,359,494,404,315,342,214,81,60
3205200030,Nossa Senhora da Penha - Vila Velha,757,86,521,234,451,256,741,751,3.14,2381,2373,2083,2022,97.07,2251,2146,2416.74,2000,1287.55,1000,43,18,21,1148,1233,298,355,440,372,346,299,139,132
3205200031,Nova Itaparica - Vila Velha,1293,180,913,378,782,406,1084,1293,3.05,3950,3950,3451,3388,98.17,3711,3605,2463.55,1970,1303.34,900,85,45,15,1859,2091,499,609,816,576,654,462,189,145
3205200032,Novo México - Vila Velha,1344,142,1065,265,877,373,1254,1344,3.13,4240,4197,3763,3709,98.56,4019,3917,3064.01,2350,1540.89,1000,65,79,14,1989,2251,477,599,751,744,599,466,370,234
3205200033,Pontal das Garças - Vila Velha,183,21,179,4,141,24,34,166,3.18,585,582,475,447,94.11,528,478,1553.01,1300,911.43,700,31,-,3,307,278,110,96,124,111,86,28,20,10
3205200034,Santa Inês - Vila Velha,2320,324,1314,928,1588,665,2289,2320,2.92,6786,6776,5968,5831,97.7,6366,6140,2559.51,2000,1365.11,950,144,77,33,3143,3643,818,935,1301,1169,1022,762,439,340
3205200035,Santa Mônica Popular - Vila Velha,1742,277,982,734,929,686,1700,1742,2.88,5020,5019,4388,4261,97.11,4688,4495,2295.43,1770,1333.15,900,158,52,80,2375,2645,632,757,1004,832,688,547,340,220
3205200036,Santa Mônica - Vila Velha,879,135,717,159,610,237,854,879,2.97,2612,2610,2333,2302,98.67,2479,2412,2697.8,1985,1433.47,1000,60,42,7,1191,1421,279,383,462,392,382,340,180,194
3205200037,Santos Dumont - Vila Velha,1406,159,1112,271,1017,291,1390,1405,3.05,4293,4288,3791,3728,98.34,4040,3917,2725.6,2050,1438.51,1000,83,58,29,2052,2241,502,568,784,681,654,535,349,220
3205200038,Vila Guaranhuns - Vila Velha,348,40,326,22,246,81,329,346,3.38,1176,1175,1007,959,95.23,1090,1016,1882.55,1410,1045.68,760,36,7,12,582,594,169,239,223,200,147,118,51,29
3205200039,Vila Nova - Vila Velha,1194,120,1037,156,791,300,1182,1193,3.16,3772,3769,3377,3332,98.67,3598,3515,3190.74,2500,1635.78,1020,56,75,19,1777,1995,395,514,622,634,555,422,363,267
3205200040,Aribiri - Vila Velha,3353,452,2827,406,2251,832,3129,3352,3.04,10222,10196,8999,8730,97.01,9630,9240,2115.41,1600,1150.91,800,278,69,94,4891,5331,1223,1674,1846,1745,1431,1132,631,540
3205200041,Argolas - Vila Velha,698,107,628,43,528,134,656,691,3.23,2256,2256,1932,1836,95.03,2087,1944,1634.62,1190,953.19,630,119,6,19,1084,1172,324,374,441,358,288,234,125,112
3205200042,Ataíde - Vila Velha,2121,244,1688,255,1514,523,2000,2120,3.11,6600,6594,5784,5559,96.11,6209,5876,2103.97,1540,1105.79,800,189,42,44,3176,3424,816,1071,1126,1068,1064,723,382,350
