Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3201308073,Campo Verde - Cariacica,1293,147,1264,10,1080,161,847,1220,3.33,4301,4301,3654,3401,93.08,3993,3621,1337.34,1110,776.81,600,220,3,35,2133,2168,647,888,829,666,546,426,165,134
3201308074,Vila Prudêncio - Cariacica,853,90,843,10,717,87,332,683,3.4,2903,2903,2404,2195,91.31,2656,2356,1220.58,1040,705.87,550,126,-,42,1422,1481,499,572,590,453,362,224,117,86
3201308075,Cangaíba - Cariacica,88,11,85,3,74,3,17,61,3.03,267,267,238,227,95.38,250,237,1401.78,1410,900.42,700,10,-,11,157,110,29,43,44,47,39,35,23,7
3201308076,Planeta - Cariacica,395,49,394,-,318,50,291,334,3.34,1319,1319,1114,1049,94.17,1216,1119,1264.42,1020,731.25,550,81,1,14,627,692,205,264,257,210,199,116,42,26
3201308077,Santana - Cariacica,1964,209,1943,21,1559,343,1855,1941,3.26,6403,6400,5438,5253,96.6,5938,5624,1938.21,1510,1087.12,800,174,29,85,3117,3286,965,1069,1201,1205,798,570,371,224
3201308078,Tabajara - Cariacica,332,43,332,-,267,52,271,330,3.15,1047,1047,903,872,96.57,985,940,1608.96,1350,903.85,755,22,-,4,515,532,144,183,184,186,140,106,63,41
3201308079,Santo Antônio - Cariacica,755,68,751,4,636,93,457,735,3.35,2550,2528,2105,1949,92.59,2339,2088,1351.44,1133.5,771.92,600,112,1,23,1212,1338,445,454,510,396,308,244,118,75
3201308080,Novo Horizonte - Cariacica,922,135,917,5,721,149,501,859,3.12,2877,2877,2405,2224,92.47,2637,2399,1099.75,1005,700.74,527,198,-,62,1442,1435,472,530,595,480,375,230,123,72
3201308081,São Gonçalo - Cariacica,241,35,241,-,214,19,145,220,3.09,756,744,633,578,91.31,698,619,958.56,960,673.4,510,63,-,28,371,385,123,139,159,106,89,77,35,28
3201308082,Piranema - Cariacica,609,83,598,11,522,60,276,490,3.1,1893,1889,1621,1498,92.41,1751,1589,1322.32,1020,811.18,600,105,-,38,957,936,272,318,385,284,285,179,93,77
3201308083,Vila dos Reis - Cariacica,938,111,930,7,809,98,381,841,3.34,3137,3134,2591,2417,93.28,2874,2614,1127.86,1020,709.23,510,229,4,37,1532,1605,546,626,620,512,364,260,107,102
3201308084,Novo Brasil - Cariacica,977,133,969,7,767,131,125,746,3.13,3061,3055,2531,2302,90.95,2801,2477,1195.91,1020,735.6,510,228,2,52,1493,1568,530,564,541,459,392,283,167,125
3201308085,Nova Campo Grande - Cariacica,111,19,111,-,90,5,2,42,3.21,357,356,283,248,87.63,324,276,1074.24,700,672.76,510,37,-,3,176,181,74,63,54,48,41,32,26,19
3201308086,Vista Dourada - Cariacica,804,96,798,6,683,79,328,720,3.39,2728,2726,2265,2120,93.6,2495,2277,1167.39,1020,703.58,512.5,179,-,40,1384,1344,463,548,504,465,338,228,106,76
3201308087,Mucuri - Cariacica,872,94,713,152,703,125,744,855,3.27,2855,2854,2381,2239,94.04,2621,2409,1239,1022,760.85,560,147,2,65,1419,1436,474,499,601,438,368,274,120,81
3201308088,Vila Independência - Cariacica,1727,197,1495,221,1366,306,1583,1705,3.17,5478,5477,4645,4366,93.99,5058,4697,1392.36,1020,834.53,600,341,6,78,2679,2799,833,955,1063,917,739,517,262,192
3201308089,Flexal II - Cariacica,1975,214,1971,3,1749,152,1552,1699,3.45,6820,6815,5469,4913,89.83,6173,5347,1045.76,1020,646.8,510,456,1,106,3331,3489,1351,1395,1316,1028,756,520,295,159
3201308090,Serra do Anil - Cariacica,31,3,31,-,26,3,5,16,3.45,107,107,86,82,95.35,99,89,1598.55,1150,971.67,700,1,-,3,60,47,21,15,21,18,18,7,5,2
3201308091,Nova Esperança - Cariacica,1144,241,1143,-,1052,70,146,1037,3.04,3484,3483,2796,2565,91.74,3178,2834,771.32,700,577.1,510,311,-,149,1734,1750,688,692,680,583,341,257,148,95
3201308092,Operário - Cariacica,934,103,928,5,785,113,590,888,3.22,3009,3007,2543,2333,91.74,2777,2490,1260.32,1100,771.55,600,164,1,78,1505,1504,466,524,585,500,366,313,143,112
3201308093,Vila Capixaba - Cariacica,1790,208,1077,705,1207,515,1633,1787,2.96,5307,5298,4685,4577,97.69,4972,4816,2388.14,1900,1307.02,1000,137,42,49,2538,2769,622,691,1074,910,754,604,382,270
3201308094,Campo Grande - Cariacica,4454,659,1734,2706,2762,1523,4353,4451,2.89,12897,12876,11658,11459,98.29,12329,12006,3315.63,2500,1798.2,1200,216,297,145,6005,6892,1239,1784,2418,1957,2052,1730,924,793
