Cód.,Município,Bairro,pred
3205002044,SERRA,BALNEÁRIO DE CARAPEBUS,0
3205002046,SERRA,CIDADE CONTINENTAL,2
3205002047,SERRA,PRAIA DE CARAPEBUS,2
3205002048,SERRA,CHÁCARA PARREIRAL,2
3205002049,SERRA,NOVO HORIZONTE,0
3205002050,SERRA,SÃO DIOGO II,2
3205002051,SERRA,SÃO DIOGO I,2
3205002052,SERRA,SÃO GERALDO,2
3205002053,SERRA,MANOEL PLAZA,2
3205002054,SERRA,EURICO SALLES,2
3205002055,SERRA,ROSÁRIO DE FÁTIMA,2
3205002057,SERRA,JARDIM CARAPINA,0
3205002058,SERRA,SANTA LUZIA,2
3205002059,SERRA,TERMINAL INTERMODAL DA SERRA,2
3205002060,SERRA,ANDRÉ CARLONE,2
3205002061,SERRA,CARAPINA GRANDE,0
3205002062,SERRA,DIAMANTINA,2
3205002063,SERRA,CENTRAL CARAPINA,2
3205002064,SERRA,PLANALTO CARAPINA,2
3205002065,SERRA,JARDIM TROPICAL,0
3205002066,SERRA,CANTINHO DO CÉU,2
3205002067,SERRA,JOSÉ DE ANCHIETA II,2
3205002068,SERRA,SOLAR DE ANCHIETA,2
3205002069,SERRA,JOSÉ DE ANCHIETA,0
3205002070,SERRA,JOSÉ DE ANCHIETA III,2
3205002071,SERRA,LARANJEIRAS VELHA,2
3205002072,SERRA,TAQUARA I,2
3205002073,SERRA,SÃO JUDAS TADEU,2
3205002074,SERRA,TAQUARA II,2
3205002075,SERRA,BARCELONA,0
3205002076,SERRA,MARINGÁ,2
3205002077,SERRA,CIVIT I,2
3205002078,SERRA,PARQUE RESIDENCIAL TUBARÃO,2
3205002079,SERRA,PLANÍCIE DA SERRA,2
3205002080,SERRA,MATA DA SERRA,2
3205002081,SERRA,PORTO CANOA,0
3205002082,SERRA,SANTO ANTÔNIO,2
3205002083,SERRA,BARRO BRANCO,2
3205002084,SERRA,PITANGA,2
3205002086,SERRA,NOVA CARAPINA I,0
3205002087,SERRA,NOVA CARAPINA II,0
3205002088,SERRA,CIDADE POMAR,2
3205002089,SERRA,ELDORADO,0
3205002090,SERRA,NOVO PORTO CANOA,2
3205002091,SERRA,SERRA DOURADA II,0
3205002092,SERRA,SERRA DOURADA I,2
3205002093,SERRA,SERRA DOURADA III,0
3205002094,SERRA,CAMPINHO DA SERRA II,2
3205002095,SERRA,VISTA DA SERRA II,2
3205002096,SERRA,CAMPINHO DA SERRA I,2
3205002097,SERRA,PLANALTO SERRANO,0
3205002098,SERRA,VISTA DA SERRA I,2
3205002099,SERRA,SÃO LOURENÇO,2
3205002100,SERRA,VILA MARIA NIOBE,2
3205002101,SERRA,CAÇAROCA,2
3205002103,SERRA,SERRA CENTRO,0
3205002104,SERRA,JARDIM PRIMAVERA,2
3205002105,SERRA,JARDIM GUANABARA,2
3205002106,SERRA,CENTRO DA SERRA,2
3205002107,SERRA,SÃO DOMINGOS,2
3205002108,SERRA,JARDIM BELA VISTA,2
3205002109,SERRA,SÃO MARCOS,2
3205002110,SERRA,NOSSA SENHORA DA CONCEIÇÃO,2
3205002111,SERRA,COLINA DA SERRA,2
3205002112,SERRA,JARDIM DA SERRA,2
3205002113,SERRA,DIVINÓPOLIS,2
3205002114,SERRA,CIDADE NOVA DA SERRA,2
3205101001,VIANA,CENTRO,2
3205101002,VIANA,BOM PASTOR,2
3205101003,VIANA,RIBEIRA,2
3205101004,VIANA,UNIVERSAL,0
3205101006,VIANA,PRIMAVERA,2
3205101007,VIANA,MARCILIO DE NORONHA,0
3205101008,VIANA,VILA BETHANIA,2
3205101009,VIANA,NOVA BETHANIA,0
3205101010,VIANA,AREINHA,2
3205101011,VIANA,ARLINDO ANGELO VILLASCHI,2
3205101012,VIANA,CAXIAS DO SUL,2
3205101013,VIANA,CAMPO VERDE,2
3205101014,VIANA,MORADA BETHANIA,2
3205101015,VIANA,PARQUE INDUSTRIAL,2
3205101016,VIANA,JUCÚ,2
3205101017,VIANA,ARAÇATIBA,2
3205101018,VIANA,BOA ESPERANÇA,2
3205200001,VILA VELHA,CENTRO DE VILA VELHA,1
3205200002,VILA VELHA,BOA VISTA I,2
3205200003,VILA VELHA,BOA VISTA II,2
3205200004,VILA VELHA,COQUEIRAL DE ITAPARICA,0
3205200005,VILA VELHA,CRISTÓVÃO COLOMBO,0
